mensaje_limpio,incidente,area,coincidencias
Notifican desde zona de carga que ocurrió perdido.,objeto perdido,seguridad,2
Un colaborador menciona haber visto evento en zona de carga.,montaje de evento,mercadeo,1
Visitantes informan molestia ruido cerca de zona coworking.,queja de cliente,recepcion,3
Parece que hubo pelea afuera de Isla de helados.,pelea,seguridad,1
Un visitante dice que encontró escenario cerca de Sweet & Coffee.,montaje de evento,mercadeo,1
un man comentó que vio insatisfecho por pasillo central.,queja de cliente,recepcion,1
Varias personas mencionan quitar publicidad afuera de Tony Roma's.,publicidad,mercadeo,2
Se detecta algo relacionado con objeto perdido en área infantil.,objeto perdido,seguridad,3
Personal de limpieza vio cables sueltos en área bancaria.,cableado suelto,mantenimiento,2
Parece que hubo fuga afuera de Mega Kywi.,fuga de agua,mantenimiento,1
Varias personas mencionan promocion afuera de Doña Menestra.,publicidad,mercadeo,2
Un visitante dice que encontró auxilio cerca de KFC.,inconsciencia,sso,1
una señora comentó que vio perdi documento por zona de carga.,objeto perdido,seguridad,3
Varias personas mencionan evento afuera de Tía.,montaje de evento,mercadeo,1
Guardias revisan caso de cable fuera de Movistar.,cableado suelto,mantenimiento,1
Hubo me cai hace poco en zona de carga.,caida,sso,1
Un guardia indica que hubo amenaza en frente a Mega Kywi.,robo,seguridad,1
Notifican desde zona coworking que ocurrió atencion pesima.,queja de cliente,recepcion,1
Hubo decoracion hace poco en fuera de Pycca.,montaje de evento,mercadeo,1
Un cliente molesto dice que hubo fuga cerca de Pícaro Resto Grill.,fuga de agua,mantenimiento,1
Un colaborador menciona haber visto urgencia en terraza.,emergencia medica,sso,1
Personal de limpieza vio retirar en zona de parqueaderos.,retiro material publicitario,mercadeo,1
Mensaje recibido: observando mucho en planta baja.,persona sospechosa,seguridad,1
"Reportan fractura en fuera de Pycca, estaba pasando entre durísimo.",emergencia medica,sso,1
Mensaje recibido: sin luz en área bancaria.,iluminacion danada,mantenimiento,2
Un cliente molesto dice que hubo dolor fuerte cerca de Coral Hipermercados.,emergencia medica,sso,1
Visitantes informan molestia ruido cerca de frente a Mega Kywi.,queja de cliente,recepcion,3
Visitantes informan desmayado cerca de segundo piso.,inconsciencia,sso,1
Parece que hubo se cayo escalera afuera de Coral Hipermercados.,accidente en escalera,sso,2
Visitantes informan gritando cerca de zona de parqueaderos.,pelea,seguridad,1
Se observa molestia a la altura de zona coworking.,queja de cliente,recepcion,1
Un colaborador menciona haber visto documento en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Un visitante dice que encontró objeto perdido cerca de Adidas Store.,objeto perdido,seguridad,3
Guardias revisan caso de comportamiento extrano fuera de Pícaro Resto Grill.,persona sospechosa,seguridad,1
Por radios informan lastimado en terraza.,caida,sso,1
Se observa promocion a la altura de zona coworking.,publicidad,mercadeo,2
durísimo comentó que vio decoracion por zona de carga.,montaje de evento,mercadeo,1
Visitantes informan molestia cerca de junto a Tía.,queja de cliente,recepcion,1
Notifican desde área bancaria que ocurrió violencia.,robo,seguridad,1
Parece que hubo quitar publicidad afuera de Marathon Sports.,publicidad,mercadeo,2
Se observa escalera a la altura de fuera de Pycca.,accidente en escalera,sso,1
Guardias revisan caso de no encuentro fuera de Valentina.,objeto perdido,seguridad,1
Hubo estacionado hace poco en cerca de Cinemark.,vehiculo mal estacionado,seguridad,1
Un cliente molesto dice que hubo alto volumen cerca de Valentina.,ruido excesivo,administracion,1
Varias personas mencionan goteo afuera de Movistar.,fuga de agua,mantenimiento,1
Parece que hubo perdi afuera de Juan Valdez.,objeto perdido,seguridad,1
Varias personas mencionan sin luz afuera de Mega Kywi.,iluminacion danada,mantenimiento,2
Un cliente molesto dice que hubo escalera cerca de Mega Kywi.,accidente en escalera,sso,1
medio raro comentó que vio anuncio por segundo piso.,persona sospechosa,seguridad,2
Parece que hubo montaje afuera de Starbucks.,montaje de evento,mercadeo,1
Varias personas mencionan se desmayo afuera de Pycca.,inconsciencia,sso,1
Se observa rina a la altura de junto a las escaleras eléctricas.,pelea,seguridad,2
Se observa ruido a la altura de terraza.,ruido excesivo,administracion,1
medio raro comentó que vio ayuda medica por fuera de Pycca.,persona sospechosa,seguridad,2
Visitantes informan me cai cerca de zona coworking.,caida,sso,1
Un colaborador menciona haber visto elevador en junto a Tía.,ascensor en falla,mantenimiento,1
Personal de limpieza vio auxilio en junto a Tía.,inconsciencia,sso,1
Notifican desde junto a las escaleras eléctricas que ocurrió tuberia rota.,accidente en escalera,sso,2
Un cliente molesto dice que hubo ruido cerca de Tía.,ruido excesivo,administracion,1
Parece que hubo elevador afuera de Pycca.,ascensor en falla,mantenimiento,1
Se observa quitar publicidad a la altura de junto a las escaleras eléctricas.,accidente en escalera,sso,3
Se genera alerta por carpeta en el sector de Isla de helados.,perdida de documentos,administracion,1
Se observa comportamiento extrano a la altura de segundo piso.,persona sospechosa,seguridad,1
full gente comentó que vio no funciona ascensor por área infantil.,ascensor en falla,mantenimiento,2
Personal de limpieza vio pistola en patio de comidas.,robo,seguridad,1
En zona de parqueaderos un cliente reporta publicidad cerca de Tía.,publicidad,mercadeo,1
Hubo perdi documento hace poco en cerca de Cinemark.,objeto perdido,seguridad,3
Se observa promo a la altura de junto a Tía.,publicidad,mercadeo,1
un chico comentó que vio alto volumen por planta baja.,ruido excesivo,administracion,1
En planta baja un cliente reporta stand cerca de Coral Hipermercados.,montaje de evento,mercadeo,1
Hubo sin luz hace poco en patio de comidas.,iluminacion danada,mantenimiento,2
Guardias revisan caso de emergencia fuera de Marathon Sports.,inconsciencia,sso,1
Notifican desde fuera de Pycca que ocurrió mal servicio.,queja de cliente,recepcion,1
Se observa tuberia rota a la altura de junto a Tía.,fuga de agua,mantenimiento,1
Un colaborador menciona haber visto desmontar en zona de carga.,retiro material publicitario,mercadeo,1
Un cliente molesto dice que hubo merodeando cerca de Valentina.,persona sospechosa,seguridad,1
durísimo comentó que vio dolor fuerte por zona de parqueaderos.,emergencia medica,sso,1
Parece que hubo se cayo escalera afuera de Valentina.,accidente en escalera,sso,2
Un colaborador menciona haber visto tropece en planta baja.,caida,sso,1
Un guardia indica que hubo quejar en patio de comidas.,queja de cliente,recepcion,2
Guardias revisan caso de molestia ruido fuera de KFC.,queja de cliente,recepcion,3
Visitantes informan sangre cerca de segundo piso.,emergencia medica,sso,1
un man comentó que vio tropece por zona de carga.,caida,sso,1
Varias personas mencionan lastimado afuera de Starbucks.,caida,sso,1
Mensaje recibido: robado en área bancaria.,robo,seguridad,1
Personal de limpieza vio discutiendo en planta baja.,pelea,seguridad,1
Parece que hubo discutiendo afuera de Valentina.,pelea,seguridad,1
Visitantes informan vehiculo cerca de zona de carga.,vehiculo mal estacionado,seguridad,1
"Alguien avisó de desmayado en área infantil, estaba a cada rato.",inconsciencia,sso,1
Un visitante dice que encontró insatisfecho cerca de Starbucks.,queja de cliente,recepcion,1
Un cliente molesto dice que hubo no funciona ascensor cerca de Pícaro Resto Grill.,ascensor en falla,mantenimiento,2
Parece que hubo promo afuera de Claro.,publicidad,mercadeo,1
Mensaje recibido: publicidad en zona de parqueaderos.,publicidad,mercadeo,1
Se detecta algo relacionado con tuberia rota en área bancaria.,fuga de agua,mantenimiento,1
Mensaje recibido: cable en baños del segundo piso.,cableado suelto,mantenimiento,1
Un colaborador menciona haber visto montaje en área infantil.,montaje de evento,mercadeo,1
Hubo anuncio hace poco en planta baja.,publicidad,mercadeo,1
Mensaje recibido: montaje en terraza.,montaje de evento,mercadeo,1
Varias personas mencionan sangre afuera de Mi Comisariato.,emergencia medica,sso,1
Se genera alerta por amenazas en el sector de Doña Menestra.,robo,seguridad,2
Un cliente molesto dice que hubo desmontar cerca de Tía.,retiro material publicitario,mercadeo,1
Un colaborador menciona haber visto retirar en patio de comidas.,retiro material publicitario,mercadeo,1
Guardias revisan caso de golpe fuera de De Prati.,caida,sso,1
Un cliente molesto dice que hubo foco cerca de Coral Hipermercados.,iluminacion danada,mantenimiento,1
Un colaborador menciona haber visto alto volumen en terraza.,ruido excesivo,administracion,1
En piso 1 un cliente reporta fuga cerca de Tía.,fuga de agua,mantenimiento,1
Un guardia indica que hubo flyer en entrada principal.,publicidad,mercadeo,1
Un visitante dice que encontró resbale cerca de Tony Roma's.,caida,sso,1
Un visitante dice que encontró archivo cerca de Claro.,perdida de documentos,administracion,1
Se genera alerta por comportamiento extrano en el sector de Marathon Sports.,persona sospechosa,seguridad,1
Parece que hubo se cayo escalera afuera de Claro.,accidente en escalera,sso,2
Mensaje recibido: stand en pasillo central.,montaje de evento,mercadeo,1
Un guardia indica que hubo herido en junto a las escaleras eléctricas.,accidente en escalera,sso,2
En frente a Mega Kywi un cliente reporta expuesto cerca de Isla de helados.,cableado suelto,mantenimiento,1
Un guardia indica que hubo remover en zona de parqueaderos.,retiro material publicitario,mercadeo,1
Varias personas mencionan no encuentro afuera de Sweet & Coffee.,objeto perdido,seguridad,1
Un visitante dice que encontró no responde cerca de Isla de helados.,inconsciencia,sso,1
Un cliente molesto dice que hubo carterazo cerca de De Prati.,robo,seguridad,1
Un colaborador menciona haber visto foco en cerca de Cinemark.,iluminacion danada,mantenimiento,1
Parece que hubo electricidad afuera de Coral Hipermercados.,cableado suelto,mantenimiento,1
Varias personas mencionan mal servicio afuera de Isla de helados.,queja de cliente,recepcion,1
Un colaborador menciona haber visto atorado en segundo piso.,ascensor en falla,mantenimiento,1
Guardias revisan caso de ladron fuera de McDonald's.,robo,seguridad,1
"Alguien avisó de quejar en fuera de Pycca, estaba un man.",queja de cliente,recepcion,2
Notifican desde junto a las escaleras eléctricas que ocurrió resbale.,caida,sso,2
Visitantes informan hurtaron cerca de pasillo central.,robo,seguridad,1
Personal de limpieza vio urgencia en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Varias personas mencionan dolor fuerte afuera de Pícaro Resto Grill.,emergencia medica,sso,1
Varias personas mencionan estacionado afuera de Pycca.,vehiculo mal estacionado,seguridad,1
Se observa raro a la altura de frente a Mega Kywi.,persona sospechosa,seguridad,1
Se genera alerta por lastimado en el sector de Doña Menestra.,caida,sso,1
Parece que hubo atencion medica afuera de Marathon Sports.,emergencia medica,sso,1
Visitantes informan resbalon cerca de junto a las escaleras eléctricas.,caida,sso,2
Mensaje recibido: stand en piso 1.,montaje de evento,mercadeo,1
Visitantes informan parpadeando cerca de segundo piso.,iluminacion danada,mantenimiento,1
Visitantes informan promocion cerca de zona de carga.,publicidad,mercadeo,2
Un guardia indica que hubo cables sueltos en piso 1.,cableado suelto,mantenimiento,2
"Alguien avisó de sin luz en terraza, estaba parece que.",iluminacion danada,mantenimiento,2
a cada rato comentó que vio golpes por cerca de Cinemark.,pelea,seguridad,2
Se observa accidente escalera a la altura de cerca de Cinemark.,caida,sso,3
Parece que hubo auxilio afuera de KFC.,inconsciencia,sso,1
recién pasó comentó que vio comportamiento extrano por frente a Mega Kywi.,persona sospechosa,seguridad,1
Se observa parpadeando a la altura de junto a Tía.,iluminacion danada,mantenimiento,1
Se genera alerta por se cayo escalera en el sector de McDonald's.,accidente en escalera,sso,2
una señora comentó que vio conflicto por entrada principal.,pelea,seguridad,1
Un colaborador menciona haber visto estacionado en junto a Tía.,vehiculo mal estacionado,seguridad,1
recién pasó comentó que vio traba por terraza.,ascensor en falla,mantenimiento,1
Un cliente molesto dice que hubo ruido cerca de McDonald's.,ruido excesivo,administracion,1
Un cliente molesto dice que hubo caida cerca de Sweet & Coffee.,caida,sso,1
Un cliente molesto dice que hubo comportamiento extrano cerca de Claro.,persona sospechosa,seguridad,1
En fuera de Pycca un cliente reporta ascensor cerca de Cinemark.,ascensor en falla,mantenimiento,1
"Alguien avisó de traba en piso 1, estaba está feo eso.",ascensor en falla,mantenimiento,1
Varias personas mencionan mal parqueado afuera de De Prati.,vehiculo mal estacionado,seguridad,1
Se observa merodeando a la altura de zona de carga.,persona sospechosa,seguridad,1
En zona coworking un cliente reporta promo cerca de Tía.,publicidad,mercadeo,1
Por radios informan stand en zona de carga.,montaje de evento,mercadeo,1
Un cliente molesto dice que hubo insatisfecho cerca de Juan Valdez.,queja de cliente,recepcion,1
"Reportan alto volumen en patio de comidas, estaba pasando entre parece que.",ruido excesivo,administracion,1
Parece que hubo inundacion afuera de McDonald's.,fuga de agua,mantenimiento,1
Se detecta algo relacionado con resbale en cerca de Cinemark.,caida,sso,1
Guardias revisan caso de resbale fuera de Tía.,caida,sso,1
Parece que hubo oscuridad afuera de Pycca.,iluminacion danada,mantenimiento,1
Hubo archivo hace poco en zona de carga.,perdida de documentos,administracion,1
Un cliente molesto dice que hubo herido cerca de Juan Valdez.,emergencia medica,sso,1
Por radios informan inconsciente en área infantil.,inconsciencia,sso,1
a cada rato comentó que vio montaje por planta baja.,montaje de evento,mercadeo,1
Un cliente molesto dice que hubo ruido cerca de KFC.,ruido excesivo,administracion,1
Se genera alerta por cable en el sector de Isla de helados.,cableado suelto,mantenimiento,1
Guardias revisan caso de merodeando fuera de Juan Valdez.,persona sospechosa,seguridad,1
En junto a Tía un cliente reporta merodeando cerca de Isla de helados.,persona sospechosa,seguridad,1
Notifican desde piso 1 que ocurrió golpe.,caida,sso,1
Se observa anuncio a la altura de entrada principal.,publicidad,mercadeo,1
Mensaje recibido: atorado en planta baja.,ascensor en falla,mantenimiento,1
"Alguien avisó de pelea en frente a Mega Kywi, estaba a cada rato.",pelea,seguridad,1
Se observa iluminacion a la altura de área bancaria.,iluminacion danada,mantenimiento,1
Parece que hubo elevador afuera de Claro.,ascensor en falla,mantenimiento,1
"Alguien avisó de desmontar en zona coworking, estaba está feo eso.",retiro material publicitario,mercadeo,1
Un visitante dice que encontró iluminacion cerca de Coral Hipermercados.,iluminacion danada,mantenimiento,1
"Reportan violencia en zona de parqueaderos, estaba pasando entre un guardia.",robo,seguridad,1
Mensaje recibido: insatisfecho en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Mensaje recibido: amenaza en junto a Tía.,robo,seguridad,1
En baños del segundo piso un cliente reporta electricidad cerca de Tony Roma's.,cableado suelto,mantenimiento,1
Se genera alerta por insatisfecho en el sector de Claro.,queja de cliente,recepcion,1
Un colaborador menciona haber visto corto circuito en área bancaria.,cableado suelto,mantenimiento,1
Un guardia indica que hubo accidente escalera en pasillo central.,caida,sso,3
"Alguien avisó de publicidad en patio de comidas, estaba un chico.",publicidad,mercadeo,1
Se detecta algo relacionado con bulla en baños del segundo piso.,ruido excesivo,administracion,1
Un visitante dice que encontró amenaza cerca de Tía.,robo,seguridad,1
Notifican desde área bancaria que ocurrió sospechoso.,persona sospechosa,seguridad,1
Se observa stand a la altura de junto a las escaleras eléctricas.,accidente en escalera,sso,2
Un visitante dice que encontró publicidad cerca de Mi Comisariato.,publicidad,mercadeo,1
Notifican desde terraza que ocurrió comportamiento extrano.,persona sospechosa,seguridad,1
Parece que hubo cables sueltos afuera de Cinemark.,cableado suelto,mantenimiento,2
Mensaje recibido: perdi en zona coworking.,objeto perdido,seguridad,1
Visitantes informan remover cerca de entrada principal.,retiro material publicitario,mercadeo,1
Notifican desde pasillo central que ocurrió accidente escalera.,caida,sso,3
Personal de limpieza vio pelea en zona de carga.,pelea,seguridad,1
parece que comentó que vio luz por área infantil.,iluminacion danada,mantenimiento,1
Un cliente molesto dice que hubo quitar publicidad cerca de Mi Comisariato.,publicidad,mercadeo,2
Se genera alerta por traba en el sector de Tony Roma's.,ascensor en falla,mantenimiento,1
Se detecta algo relacionado con inundacion en entrada principal.,fuga de agua,mantenimiento,1
Un colaborador menciona haber visto remover en pasillo central.,retiro material publicitario,mercadeo,1
Parece que hubo molestia ruido afuera de Marathon Sports.,queja de cliente,recepcion,3
Un visitante dice que encontró carterazo cerca de Pícaro Resto Grill.,robo,seguridad,1
Personal de limpieza vio pelea en entrada principal.,pelea,seguridad,1
"Reportan promo en área infantil, estaba pasando entre medio raro.",persona sospechosa,seguridad,2
Un colaborador menciona haber visto quitar publicidad en junto a Tía.,publicidad,mercadeo,2
Parece que hubo promo afuera de Coral Hipermercados.,publicidad,mercadeo,1
Se observa foco a la altura de pasillo central.,iluminacion danada,mantenimiento,1
Guardias revisan caso de hurto fuera de Tía.,robo,seguridad,1
Un colaborador menciona haber visto alto volumen en frente a Mega Kywi.,ruido excesivo,administracion,1
Varias personas mencionan ayuda medica afuera de Pycca.,emergencia medica,sso,1
Un colaborador menciona haber visto mal parqueado en frente a Mega Kywi.,vehiculo mal estacionado,seguridad,1
Un guardia indica que hubo quejar en zona de parqueaderos.,queja de cliente,recepcion,2
Hubo cable hace poco en zona coworking.,cableado suelto,mantenimiento,1
Notifican desde zona de carga que ocurrió retirar.,retiro material publicitario,mercadeo,1
Se observa sin luz a la altura de patio de comidas.,iluminacion danada,mantenimiento,2
Hubo golpe hace poco en planta baja.,caida,sso,1
"Alguien avisó de inundacion en junto a las escaleras eléctricas, estaba full gente.",accidente en escalera,sso,2
En zona coworking un cliente reporta extraviado cerca de Tía.,objeto perdido,seguridad,1
Un visitante dice que encontró reclamo cerca de Isla de helados.,queja de cliente,recepcion,1
Personal de limpieza vio sangre en fuera de Pycca.,emergencia medica,sso,1
Se observa vehiculo a la altura de patio de comidas.,vehiculo mal estacionado,seguridad,1
"Alguien avisó de comportamiento extrano en fuera de Pycca, estaba una señora.",persona sospechosa,seguridad,1
Se detecta algo relacionado con mojado en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Personal de limpieza vio anuncio en pasillo central.,publicidad,mercadeo,1
En zona de parqueaderos un cliente reporta parpadeando cerca de Movistar.,iluminacion danada,mantenimiento,1
Hubo bulla hace poco en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Un visitante dice que encontró forcejeo cerca de Mi Comisariato.,pelea,seguridad,1
Personal de limpieza vio molestia en planta baja.,queja de cliente,recepcion,1
Parece que hubo auxilio afuera de De Prati.,inconsciencia,sso,1
Un cliente molesto dice que hubo promocion cerca de De Prati.,publicidad,mercadeo,2
Guardias revisan caso de resbale fuera de Mega Kywi.,caida,sso,1
Por radios informan traba en área infantil.,ascensor en falla,mantenimiento,1
Un cliente molesto dice que hubo ascensor cerca de Mega Kywi.,ascensor en falla,mantenimiento,1
full gente comentó que vio perdido por entrada principal.,objeto perdido,seguridad,2
Varias personas mencionan no encuentro afuera de Juan Valdez.,objeto perdido,seguridad,1
Por radios informan ruido en zona de carga.,ruido excesivo,administracion,1
Notifican desde zona de carga que ocurrió retirar.,retiro material publicitario,mercadeo,1
Varias personas mencionan robaron afuera de Tony Roma's.,robo,seguridad,1
Se detecta algo relacionado con documento en piso 1.,perdida de documentos,administracion,1
"Alguien avisó de quitar publicidad en terraza, estaba como que.",publicidad,mercadeo,2
Notifican desde segundo piso que ocurrió apagado.,iluminacion danada,mantenimiento,1
Un cliente molesto dice que hubo no encuentro cerca de Movistar.,objeto perdido,seguridad,1
Personal de limpieza vio foco en área bancaria.,iluminacion danada,mantenimiento,1
Un cliente molesto dice que hubo comportamiento extrano cerca de Isla de helados.,persona sospechosa,seguridad,1
Visitantes informan obstruyendo cerca de segundo piso.,vehiculo mal estacionado,seguridad,1
Hubo ascensor hace poco en baños del segundo piso.,ascensor en falla,mantenimiento,1
En frente a Mega Kywi un cliente reporta bulla cerca de Mi Comisariato.,ruido excesivo,administracion,1
Varias personas mencionan atorado afuera de Coral Hipermercados.,ascensor en falla,mantenimiento,1
Un colaborador menciona haber visto anuncio en zona de carga.,publicidad,mercadeo,1
Parece que hubo obstruyendo afuera de Starbucks.,vehiculo mal estacionado,seguridad,1
Se genera alerta por raro en el sector de Cinemark.,persona sospechosa,seguridad,1
Guardias revisan caso de cable fuera de Isla de helados.,cableado suelto,mantenimiento,1
Visitantes informan papeles cerca de junto a Tía.,perdida de documentos,administracion,1
Varias personas mencionan oscuridad afuera de Valentina.,iluminacion danada,mantenimiento,1
Se genera alerta por recuperar en el sector de Coral Hipermercados.,objeto perdido,seguridad,1
Mensaje recibido: inundacion en cerca de Cinemark.,fuga de agua,mantenimiento,1
En cerca de Cinemark un cliente reporta tropece cerca de Adidas Store.,caida,sso,1
"Reportan escalera en junto a Tía, estaba pasando entre un chico.",accidente en escalera,sso,1
Visitantes informan stand cerca de área infantil.,montaje de evento,mercadeo,1
Se detecta algo relacionado con lastimado en entrada principal.,caida,sso,1
"Alguien avisó de molestia ruido en cerca de Cinemark, estaba a cada rato.",queja de cliente,recepcion,3
Un colaborador menciona haber visto decoracion en cerca de Cinemark.,montaje de evento,mercadeo,1
Personal de limpieza vio golpes en terraza.,pelea,seguridad,2
Se observa dolor fuerte a la altura de zona de parqueaderos.,emergencia medica,sso,1
Varias personas mencionan lastimado afuera de Marathon Sports.,caida,sso,1
Se detecta algo relacionado con herido en baños del segundo piso.,emergencia medica,sso,1
Se genera alerta por tuberia rota en el sector de Adidas Store.,fuga de agua,mantenimiento,1
Un visitante dice que encontró vehiculo cerca de McDonald's.,vehiculo mal estacionado,seguridad,1
Hubo molestia ruido hace poco en junto a las escaleras eléctricas.,accidente en escalera,sso,4
Se detecta algo relacionado con resbale en segundo piso.,caida,sso,1
Se genera alerta por resbalon en el sector de Mega Kywi.,caida,sso,1
En patio de comidas un cliente reporta comportamiento extrano cerca de Adidas Store.,persona sospechosa,seguridad,1
Notifican desde planta baja que ocurrió bloqueando.,vehiculo mal estacionado,seguridad,1
Por radios informan no encuentro en segundo piso.,objeto perdido,seguridad,1
Se genera alerta por perdi documento en el sector de Tía.,objeto perdido,seguridad,3
Un cliente molesto dice que hubo retirar cerca de Movistar.,retiro material publicitario,mercadeo,1
Un colaborador menciona haber visto expuesto en zona de carga.,cableado suelto,mantenimiento,1
Visitantes informan desmontar cerca de planta baja.,retiro material publicitario,mercadeo,1
Mensaje recibido: robado en área infantil.,robo,seguridad,1
Un guardia indica que hubo bloqueando en cerca de Cinemark.,vehiculo mal estacionado,seguridad,1
Personal de limpieza vio alto volumen en zona de carga.,ruido excesivo,administracion,1
Varias personas mencionan publicidad afuera de De Prati.,publicidad,mercadeo,1
"Alguien avisó de perdido en pasillo central, estaba a cada rato.",objeto perdido,seguridad,2
Notifican desde planta baja que ocurrió quitar publicidad.,publicidad,mercadeo,2
Se genera alerta por oscuridad en el sector de Sweet & Coffee.,iluminacion danada,mantenimiento,1
Mensaje recibido: decoracion en frente a Mega Kywi.,montaje de evento,mercadeo,1
Notifican desde zona de carga que ocurrió vigilado.,persona sospechosa,seguridad,1
Se detecta algo relacionado con promocion en piso 1.,publicidad,mercadeo,2
Por radios informan luz en fuera de Pycca.,iluminacion danada,mantenimiento,1
Mensaje recibido: no responde en frente a Mega Kywi.,inconsciencia,sso,1
Parece que hubo dolor fuerte afuera de Isla de helados.,emergencia medica,sso,1
Se detecta algo relacionado con emergencia en segundo piso.,inconsciencia,sso,1
Un colaborador menciona haber visto ascensor en zona de carga.,ascensor en falla,mantenimiento,1
Personal de limpieza vio perdi documento en zona coworking.,objeto perdido,seguridad,3
Un cliente molesto dice que hubo montaje cerca de Doña Menestra.,montaje de evento,mercadeo,1
Un visitante dice que encontró no encuentro cerca de Pycca.,objeto perdido,seguridad,1
Guardias revisan caso de recuperar fuera de Pícaro Resto Grill.,objeto perdido,seguridad,1
Se genera alerta por documento en el sector de Claro.,perdida de documentos,administracion,1
Se genera alerta por desmontar en el sector de KFC.,retiro material publicitario,mercadeo,1
Visitantes informan tropiezo escalera cerca de área infantil.,accidente en escalera,sso,2
Varias personas mencionan elevador afuera de Isla de helados.,ascensor en falla,mantenimiento,1
Visitantes informan atencion medica cerca de junto a las escaleras eléctricas.,accidente en escalera,sso,2
Un colaborador menciona haber visto observando mucho en segundo piso.,persona sospechosa,seguridad,1
Por radios informan quejar en zona de parqueaderos.,queja de cliente,recepcion,2
Visitantes informan luz cerca de pasillo central.,iluminacion danada,mantenimiento,1
Un cliente molesto dice que hubo desmontar cerca de Starbucks.,retiro material publicitario,mercadeo,1
Se genera alerta por dolor fuerte en el sector de Pícaro Resto Grill.,emergencia medica,sso,1
Un guardia indica que hubo papeles en entrada principal.,perdida de documentos,administracion,1
Por radios informan cables sueltos en junto a Tía.,cableado suelto,mantenimiento,2
Notifican desde piso 1 que ocurrió quitar publicidad.,publicidad,mercadeo,2
Un colaborador menciona haber visto desmontar en piso 1.,retiro material publicitario,mercadeo,1
Un cliente molesto dice que hubo tropiezo escalera cerca de Pícaro Resto Grill.,accidente en escalera,sso,2
Guardias revisan caso de vigilado fuera de Movistar.,persona sospechosa,seguridad,1
Varias personas mencionan flyer afuera de Pycca.,publicidad,mercadeo,1
un man comentó que vio decoracion por frente a Mega Kywi.,montaje de evento,mercadeo,1
Un guardia indica que hubo fuga en zona de parqueaderos.,fuga de agua,mantenimiento,1
Por radios informan conflicto en terraza.,pelea,seguridad,1
"Alguien avisó de se cayo escalera en zona de carga, estaba medio raro.",persona sospechosa,seguridad,3
Notifican desde zona coworking que ocurrió quitar publicidad.,publicidad,mercadeo,2
Personal de limpieza vio carpeta en zona de parqueaderos.,perdida de documentos,administracion,1
Un cliente molesto dice que hubo dolor fuerte cerca de Valentina.,emergencia medica,sso,1
En fuera de Pycca un cliente reporta recuperar cerca de Mega Kywi.,objeto perdido,seguridad,1
está feo eso comentó que vio inundacion por patio de comidas.,fuga de agua,mantenimiento,1
Se detecta algo relacionado con ayuda medica en patio de comidas.,emergencia medica,sso,1
Un guardia indica que hubo actitud sospechosa en cerca de Cinemark.,persona sospechosa,seguridad,1
Guardias revisan caso de objeto perdido fuera de Tony Roma's.,objeto perdido,seguridad,3
En entrada principal un cliente reporta golpes cerca de Mega Kywi.,pelea,seguridad,2
"Reportan foco en pasillo central, estaba pasando entre full gente.",iluminacion danada,mantenimiento,1
como que comentó que vio tuberia rota por piso 1.,fuga de agua,mantenimiento,1
En cerca de Cinemark un cliente reporta parpadeando cerca de Tía.,iluminacion danada,mantenimiento,1
Visitantes informan desmontar cerca de piso 1.,retiro material publicitario,mercadeo,1
Varias personas mencionan quejar afuera de Juan Valdez.,queja de cliente,recepcion,2
Mensaje recibido: atorado en piso 1.,ascensor en falla,mantenimiento,1
Se detecta algo relacionado con conflicto en segundo piso.,pelea,seguridad,1
Visitantes informan remover cerca de zona de parqueaderos.,retiro material publicitario,mercadeo,1
Personal de limpieza vio accidente escalera en junto a Tía.,caida,sso,3
Mensaje recibido: caida en área bancaria.,caida,sso,1
Notifican desde terraza que ocurrió promo.,publicidad,mercadeo,1
medio raro comentó que vio elevador por área infantil.,persona sospechosa,seguridad,2
"Alguien avisó de ascensor en segundo piso, estaba un guardia.",ascensor en falla,mantenimiento,1
Se observa perdido a la altura de área infantil.,objeto perdido,seguridad,2
Notifican desde zona de parqueaderos que ocurrió vehiculo.,vehiculo mal estacionado,seguridad,1
Un colaborador menciona haber visto stand en zona de parqueaderos.,montaje de evento,mercadeo,1
Por radios informan stand en zona de carga.,montaje de evento,mercadeo,1
Varias personas mencionan estacionado afuera de KFC.,vehiculo mal estacionado,seguridad,1
Mensaje recibido: bulla en entrada principal.,ruido excesivo,administracion,1
Se detecta algo relacionado con arma en entrada principal.,robo,seguridad,1
"Alguien avisó de tuberia rota en cerca de Cinemark, estaba una señora.",fuga de agua,mantenimiento,1
Varias personas mencionan ruido afuera de Marathon Sports.,ruido excesivo,administracion,1
En segundo piso un cliente reporta caida cerca de Juan Valdez.,caida,sso,1
En frente a Mega Kywi un cliente reporta parpadeando cerca de Isla de helados.,iluminacion danada,mantenimiento,1
Visitantes informan pelea cerca de junto a las escaleras eléctricas.,pelea,seguridad,2
Parece que hubo asalto afuera de Isla de helados.,robo,seguridad,1
Visitantes informan accidente cerca de baños del segundo piso.,caida,sso,1
Visitantes informan accidente escalera cerca de pasillo central.,caida,sso,3
Mensaje recibido: merodeando en cerca de Cinemark.,persona sospechosa,seguridad,1
Por radios informan montaje en área bancaria.,montaje de evento,mercadeo,1
